severity,affected_population,disaster_type,rainfall_mm,road_blockage_percent,medical_need_level,elderly_population,infrastructure_damage_level,rescue_team_availability,area_size_km2,hospital_distance_km,response_time_target_min,teams_required,ambulances_required,food_packets_required,medical_kits_required
2,3189,CYCLONE,119.2,32.6,5,490,1,45,62.5,26.6,60,177,33,7992,102
2,3405,EARTHQUAKE,44.5,58.8,2,800,10,50,10.5,15.0,45,206,28,8532,111
7,2173,LANDSLIDE,196.4,57.2,8,124,5,26,14.8,30.8,60,374,40,5502,83
1,3252,FIRE,207.2,4.9,8,761,6,2,34.1,39.9,45,73,25,8140,115
5,4037,OTHER,205.5,97.2,4,310,8,50,82.7,14.2,60,359,29,10142,131
10,741,EARTHQUAKE,132.5,91.3,7,146,9,24,82.2,26.2,30,221,36,1952,44
2,2558,OTHER,152.0,13.6,9,577,1,12,19.7,41.8,15,88,20,6415,92
4,280,LANDSLIDE,15.2,36.0,4,29,8,33,40.0,46.2,15,52,8,740,24
4,3061,LANDSLIDE,178.2,17.8,8,512,6,23,16.8,44.8,15,304,38,7692,109
5,234,LANDSLIDE,14.9,85.4,4,51,4,44,21.1,32.9,15,46,9,635,19
1,3893,EARTHQUAKE,194.2,60.1,1,368,10,20,71.4,35.8,45,133,35,9742,123
7,3094,FIRE,137.7,21.8,5,573,10,26,58.7,1.4,45,421,30,7805,108
9,4874,CYCLONE,84.8,68.4,8,305,5,41,32.9,14.6,45,1193,71,12275,160
4,1238,CYCLONE,229.6,90.0,10,161,6,44,14.4,2.2,60,161,33,3135,61
5,2135,LANDSLIDE,121.4,73.7,10,409,10,13,34.6,36.0,60,284,36,5388,91
6,4165,FIRE,253.6,84.1,9,359,2,31,13.2,13.7,30,469,43,10472,139
6,741,EARTHQUAKE,106.6,74.4,5,99,6,24,26.4,15.4,15,137,20,1912,37
8,449,OTHER,175.1,94.4,2,64,4,33,12.4,34.4,45,74,10,1202,21
7,452,EARTHQUAKE,41.2,20.0,7,111,8,10,32.0,36.1,15,105,23,1200,35
8,2734,OTHER,296.0,31.3,1,139,5,14,76.2,9.3,30,377,22,6915,85
8,731,EARTHQUAKE,184.3,63.3,7,99,8,25,1.0,27.2,45,177,32,1908,43
1,2649,CYCLONE,57.2,67.7,4,252,6,20,13.3,19.8,45,97,25,6632,90
3,544,FLOOD,89.5,29.1,9,92,6,28,88.9,49.8,45,53,15,1390,40
8,2952,EARTHQUAKE,49.5,90.7,7,158,4,47,98.5,11.3,15,611,45,7460,102
10,4143,EARTHQUAKE,36.9,71.1,1,518,5,50,53.7,3.4,15,1058,36,10458,125
2,171,FLOOD,206.9,41.7,7,12,5,31,70.3,11.1,15,24,11,448,24
5,3457,OTHER,30.3,52.0,10,591,3,27,83.1,6.1,15,298,30,8692,122
5,943,FLOOD,149.3,60.9,5,203,4,23,70.5,15.5,15,118,18,2408,41
9,4076,EARTHQUAKE,206.5,48.1,4,206,2,8,83.6,33.8,30,928,50,10280,126
2,4201,FLOOD,217.1,10.1,5,751,8,19,26.8,3.5,30,204,36,10522,138
1,2390,FIRE,240.5,31.3,2,164,1,1,85.3,33.5,30,48,19,5985,73
6,2938,LANDSLIDE,286.5,26.8,2,365,6,12,11.8,20.6,60,431,33,7405,94
5,3169,OTHER,255.2,80.0,3,230,1,11,10.8,45.7,60,271,25,7972,98
10,3599,EARTHQUAKE,183.4,77.9,10,200,3,31,92.1,6.5,60,917,70,9098,126
8,386,FLOOD,78.5,31.4,9,78,10,47,56.7,48.9,45,96,28,1045,39
9,4295,OTHER,210.2,9.5,4,628,7,10,84.0,28.4,15,659,35,10828,138
1,1295,CYCLONE,254.7,85.2,3,84,8,21,24.5,48.5,15,69,20,3248,51
9,1834,CYCLONE,193.0,40.3,4,120,8,37,45.1,43.0,60,470,35,4675,68
6,982,LANDSLIDE,223.6,1.8,7,130,9,36,0.5,5.5,45,163,28,2515,51
9,4616,EARTHQUAKE,196.4,45.6,6,566,1,15,84.5,17.3,60,1046,61,11630,145
6,3717,FLOOD,29.2,65.9,1,439,5,36,52.4,35.4,15,502,27,9352,113
3,4043,EARTHQUAKE,246.6,74.3,7,288,10,13,19.2,46.6,60,341,46,10138,140
4,3754,EARTHQUAKE,215.0,10.8,7,222,10,8,77.3,23.1,30,406,45,9425,131
8,45,CYCLONE,220.9,55.3,7,9,8,33,78.2,45.6,30,41,30,192,23
3,858,LANDSLIDE,197.3,60.6,6,129,7,27,98.0,45.9,30,85,18,2175,44
5,3269,FIRE,291.1,45.3,3,253,10,45,88.7,26.1,45,325,29,8222,109
9,1790,EARTHQUAKE,62.9,71.4,6,419,3,46,65.2,48.0,45,419,36,4565,66
2,2895,CYCLONE,144.1,57.1,7,535,9,19,87.8,21.7,15,189,33,7258,106
9,882,FLOOD,114.3,5.3,1,79,3,19,68.5,8.2,15,180,12,2295,30
5,1681,CYCLONE,9.7,81.4,2,291,9,15,74.4,28.5,30,262,18,4252,61
9,2366,OTHER,199.3,92.6,7,315,6,36,5.9,37.4,30,373,32,6005,88
10,3639,EARTHQUAKE,273.4,70.5,6,731,9,48,60.5,39.0,30,944,58,9198,125
5,3686,EARTHQUAKE,295.0,7.4,3,726,2,25,4.5,14.7,45,467,42,9265,113
3,1328,CYCLONE,253.8,0.6,8,254,3,3,15.8,16.8,15,116,28,3350,57
10,2477,LANDSLIDE,237.0,55.0,2,512,6,34,22.4,10.0,15,600,31,6292,81
9,1315,LANDSLIDE,162.9,40.3,6,123,4,43,33.5,18.7,30,291,33,3378,54
10,4355,LANDSLIDE,299.0,82.4,1,317,6,29,24.4,32.5,30,1041,42,10988,132
1,2639,LANDSLIDE,274.8,94.5,7,267,5,2,91.2,41.3,45,84,29,6608,94
9,4177,LANDSLIDE,146.0,29.6,4,476,2,7,17.2,47.9,15,886,46,10532,129
2,1736,OTHER,188.9,21.3,7,376,4,35,83.0,44.1,60,67,16,4360,68
2,1269,FLOOD,137.8,33.2,2,82,3,17,56.0,29.2,30,66,13,3192,43
5,3349,LANDSLIDE,135.3,40.4,6,178,2,35,1.1,36.3,15,400,38,8422,110
10,382,OTHER,254.5,35.8,9,27,5,39,9.1,38.5,60,76,30,1055,34
7,3246,OTHER,9.2,15.6,4,250,7,35,29.9,32.1,45,394,23,8185,108
6,101,CYCLONE,262.4,14.1,1,5,10,26,53.9,47.4,45,50,12,312,15
4,2826,EARTHQUAKE,123.8,64.6,9,221,3,15,61.9,13.4,15,298,38,7105,102
3,4657,FLOOD,255.4,93.2,9,662,9,5,29.4,4.3,15,334,46,11672,160
4,4766,LANDSLIDE,285.5,35.7,4,333,10,5,90.1,16.6,60,476,47,11955,154
6,2514,OTHER,175.3,56.6,6,531,7,11,1.0,13.1,30,269,25,6345,91
7,2276,FIRE,40.3,73.3,8,324,6,50,30.9,28.0,30,311,29,5760,87
10,681,FIRE,257.6,14.0,9,60,2,47,8.0,1.9,15,130,34,1802,39
10,4752,LANDSLIDE,230.8,21.3,1,761,9,35,47.5,39.0,45,1136,43,11980,147
7,1839,CYCLONE,220.0,29.1,8,276,2,26,36.7,1.5,30,353,44,4668,71
10,1368,CYCLONE,42.1,15.9,10,327,3,48,73.3,47.0,15,376,52,3520,62
4,4004,EARTHQUAKE,18.9,36.9,1,735,9,24,39.1,46.0,15,431,32,10050,125
1,2664,FLOOD,211.1,52.1,5,578,5,38,54.7,9.5,60,75,24,6670,91
6,4824,OTHER,269.5,7.8,5,604,4,34,40.9,41.0,45,491,37,12120,152
8,3959,CYCLONE,2.0,88.2,8,329,2,33,64.5,11.4,30,860,57,9978,131
3,2977,CYCLONE,215.2,11.8,4,395,6,47,11.8,34.1,60,259,36,7472,99
4,4849,EARTHQUAKE,194.2,41.1,4,284,10,38,16.5,31.8,15,519,48,12162,157
10,1213,FLOOD,49.9,92.2,9,293,10,37,63.9,44.0,45,297,38,3132,63
2,1784,LANDSLIDE,182.0,47.1,8,150,7,39,14.7,29.5,30,107,23,4480,74
10,4194,FIRE,50.3,68.6,8,710,2,15,38.1,7.5,15,778,46,10585,138
4,4292,CYCLONE,205.3,82.7,10,297,8,40,60.2,44.0,15,492,57,10770,151
2,3960,OTHER,39.1,60.3,1,908,7,34,42.4,43.9,60,150,21,9920,122
4,3959,LANDSLIDE,105.2,80.5,10,275,3,17,48.0,12.4,15,385,45,9938,136
5,4911,CYCLONE,122.6,18.9,1,813,2,34,1.2,33.1,45,663,45,12328,144
7,2977,FLOOD,46.4,65.2,5,304,9,28,56.7,31.0,60,481,32,7512,104
4,3395,CYCLONE,235.1,48.2,6,549,8,17,98.9,29.3,60,393,44,8528,117
3,985,OTHER,68.9,78.3,3,69,9,26,78.7,40.2,15,72,9,2492,43
3,3197,OTHER,1.6,9.1,3,461,10,28,9.3,13.9,45,180,18,8022,107
2,4999,FLOOD,217.3,93.1,7,863,9,19,71.3,30.3,30,248,43,12518,166
8,3606,FLOOD,60.5,65.7,9,386,1,39,51.3,35.2,30,633,48,9095,122
1,2956,EARTHQUAKE,196.5,97.6,2,737,7,23,67.1,20.9,30,105,29,7400,95
9,135,OTHER,211.1,91.9,9,14,9,38,35.1,48.2,45,44,25,428,31
4,4977,EARTHQUAKE,136.4,40.4,1,508,7,33,11.1,4.5,45,523,43,12482,151
6,968,CYCLONE,287.0,87.6,10,96,8,25,56.5,38.7,45,190,41,2480,56
8,3784,CYCLONE,258.6,48.2,5,240,4,44,70.3,40.2,60,825,55,9540,122
6,4241,CYCLONE,2.9,83.2,4,455,7,44,75.0,17.8,30,710,44,10662,136
8,2581,FIRE,65.6,57.4,3,617,4,32,73.8,12.5,30,392,22,6532,84
5,1703,EARTHQUAKE,60.8,25.0,10,206,2,8,92.1,34.1,60,221,33,4308,71
10,64,CYCLONE,287.4,84.8,6,11,8,37,86.9,25.0,45,52,34,260,22
7,1829,CYCLONE,38.5,52.6,7,266,9,3,50.5,20.3,30,376,35,4642,75
8,996,OTHER,155.5,31.6,1,52,4,25,58.3,16.9,45,143,10,2570,34
3,4503,FIRE,71.1,47.1,10,534,3,32,42.7,21.5,45,258,35,11288,152
6,3291,FIRE,135.2,57.1,10,616,2,47,27.4,12.6,60,371,38,8288,116
7,1616,EARTHQUAKE,240.0,73.9,8,341,3,27,50.2,49.8,45,299,40,4110,65
8,2467,FIRE,168.6,56.8,7,172,3,4,21.9,13.5,15,373,33,6248,87
8,2751,FIRE,108.3,56.0,5,326,7,8,35.4,34.3,30,423,29,6958,96
10,4727,OTHER,194.7,17.5,5,572,9,32,77.6,22.9,15,807,40,11918,154
7,2357,LANDSLIDE,189.5,14.5,3,419,6,27,63.3,29.0,15,403,29,5962,79
2,1337,FIRE,68.5,31.7,5,256,10,42,39.8,44.5,45,73,12,3362,58
10,4277,LANDSLIDE,124.2,18.4,1,320,4,43,25.5,37.4,15,1011,37,10792,128
4,1377,LANDSLIDE,30.9,6.4,8,219,1,50,40.0,38.5,15,132,22,3482,56
2,2160,CYCLONE,46.6,65.5,7,241,4,48,28.8,31.7,30,135,24,5420,80
9,1407,FLOOD,10.5,35.7,6,313,8,35,93.5,27.9,30,298,27,3608,60
9,1460,CYCLONE,179.3,63.1,10,200,9,20,90.9,24.6,30,386,53,3740,71
2,3629,FIRE,109.7,26.0,5,189,9,49,84.9,17.9,60,155,25,9092,123
9,78,OTHER,276.6,94.7,8,8,7,19,59.9,40.0,45,32,24,285,25
4,3382,CYCLONE,131.1,25.0,7,729,4,17,8.4,31.6,45,376,42,8495,115
5,4367,FIRE,123.9,85.3,3,337,2,41,45.8,23.2,60,411,31,10968,133
4,2636,FLOOD,45.6,97.0,1,229,2,19,27.3,36.0,15,242,20,6630,79
4,748,EARTHQUAKE,4.4,21.7,7,84,8,24,46.6,39.8,45,101,16,1910,43
2,1206,FLOOD,80.0,39.2,9,173,4,17,81.8,41.6,15,66,16,3035,56
4,3162,LANDSLIDE,74.1,99.5,4,449,2,34,66.8,11.2,60,310,30,7945,100
5,2656,EARTHQUAKE,188.7,4.2,9,409,5,31,64.0,10.7,15,347,42,6690,99
4,935,EARTHQUAKE,189.9,32.5,3,195,10,8,39.9,12.9,15,127,17,2378,43
10,3903,OTHER,178.9,37.1,2,389,8,6,68.8,17.6,15,669,28,9858,124
1,2922,OTHER,46.2,53.6,2,219,4,21,98.2,39.6,45,60,16,7315,91
8,1590,FLOOD,206.8,35.8,3,159,1,32,70.8,28.4,60,281,24,4055,52
4,4652,EARTHQUAKE,163.1,32.4,8,488,10,36,16.5,27.0,60,498,52,11670,159
5,2167,CYCLONE,110.1,0.1,9,272,3,2,62.2,18.8,30,299,39,5468,83
6,528,OTHER,290.1,81.9,4,81,8,50,55.4,31.0,45,74,14,1380,31
7,2648,FLOOD,28.9,65.9,1,574,3,12,87.4,10.9,60,415,20,6690,81
4,818,FLOOD,171.3,83.6,8,126,10,17,5.4,11.8,15,104,20,2085,49
1,1719,OTHER,147.4,89.0,2,246,1,24,56.0,47.0,60,37,12,4308,54
6,487,CYCLONE,79.7,4.1,2,105,2,14,96.1,5.8,30,85,11,1278,20
9,3166,EARTHQUAKE,57.9,65.7,10,554,3,36,75.0,21.3,15,728,59,8005,113
10,2942,OTHER,137.6,66.5,2,245,3,36,40.5,17.5,30,501,22,7455,91
9,4924,LANDSLIDE,280.1,90.2,9,1222,6,24,41.5,32.0,45,1059,71,12400,165
10,1981,CYCLONE,163.7,37.5,9,465,5,24,96.2,22.9,60,548,57,5052,80
1,293,FIRE,178.7,51.8,5,15,4,14,85.6,2.1,45,18,7,742,22
9,4198,CYCLONE,171.2,57.2,2,241,6,10,14.3,19.0,30,1033,46,10585,130
4,2109,FIRE,27.6,40.0,4,415,6,31,17.7,41.5,15,171,17,5312,74
10,2470,FLOOD,219.2,57.6,2,508,6,23,88.0,22.3,15,556,28,6275,81
4,4944,FLOOD,190.2,63.2,1,548,1,21,54.2,8.3,30,437,38,12400,144
3,423,OTHER,219.5,39.3,8,84,10,33,9.5,22.2,60,44,13,1088,38
3,1092,FIRE,24.8,57.1,1,174,5,6,40.2,22.3,30,75,7,2760,38
3,3949,CYCLONE,59.4,39.5,10,352,10,48,52.7,12.9,45,352,45,9902,143
7,2659,OTHER,277.2,9.0,7,358,6,13,32.4,30.1,15,323,31,6718,96
5,1396,FIRE,184.9,99.0,8,243,8,3,92.5,12.4,45,153,23,3540,64
3,712,FLOOD,221.9,24.3,10,167,5,1,34.7,40.4,45,61,20,1810,45
8,3869,FLOOD,99.6,74.0,4,351,9,49,26.2,24.7,30,700,38,9752,128
1,3095,CYCLONE,271.8,52.7,5,260,5,13,79.0,31.3,15,104,35,7748,103
8,78,FLOOD,116.6,27.1,6,17,1,19,86.8,32.8,30,18,19,275,15
7,4175,OTHER,29.9,31.5,10,652,3,13,50.3,23.4,15,495,39,10508,142
1,2036,CYCLONE,91.5,49.0,3,109,6,23,62.7,12.6,45,79,20,5100,70
1,2120,LANDSLIDE,267.1,81.5,1,506,5,15,15.6,45.0,30,71,23,5310,68
2,3141,CYCLONE,288.2,61.2,4,419,10,10,42.9,16.3,45,206,38,7872,108
8,4451,EARTHQUAKE,62.0,13.9,9,831,4,9,31.2,35.6,30,904,62,11208,149
7,1199,OTHER,279.9,91.7,6,76,9,47,12.3,16.6,30,164,22,3068,55
1,2620,LANDSLIDE,288.4,30.3,5,210,4,7,13.6,2.3,45,75,28,6560,89
10,4655,CYCLONE,69.3,23.2,1,567,8,9,50.5,30.6,45,1269,43,11738,143
3,3184,LANDSLIDE,142.2,16.4,4,179,1,18,95.0,11.9,30,227,30,7990,100
4,551,EARTHQUAKE,278.1,98.6,10,81,6,30,88.8,22.0,15,83,27,1418,42
10,3126,OTHER,93.9,61.2,10,527,9,42,87.6,39.6,15,543,43,7915,118
8,3752,FLOOD,263.3,24.6,9,484,1,36,39.0,38.5,15,655,55,9460,126
4,2395,LANDSLIDE,119.4,30.5,5,340,7,19,61.5,3.7,30,246,27,6028,85
8,3710,FLOOD,216.8,11.3,10,881,9,9,39.6,16.8,15,667,56,9355,135
3,3726,CYCLONE,269.0,89.6,8,253,6,45,65.0,35.9,30,327,48,9345,128
2,757,FLOOD,211.9,63.4,2,117,7,47,79.2,26.1,30,56,12,1912,33
7,4518,LANDSLIDE,13.2,17.1,6,736,3,11,86.9,9.8,15,748,47,11365,144
7,2533,FIRE,219.0,96.1,5,444,2,9,96.1,1.2,45,337,28,6402,84
1,3767,LANDSLIDE,256.6,54.4,1,646,8,16,22.1,33.3,60,115,34,9428,118
7,3629,FLOOD,180.4,0.7,9,383,9,14,5.4,8.3,45,574,49,9142,131
1,1200,FLOOD,200.1,83.8,5,139,2,4,11.3,49.7,30,38,15,3010,46
5,4883,CYCLONE,236.2,17.7,8,975,6,3,9.8,15.7,45,672,63,12258,162
7,564,LANDSLIDE,253.0,6.5,8,43,5,22,52.9,26.7,30,107,31,1480,37
10,486,FLOOD,171.4,97.9,9,120,8,47,69.0,46.8,45,135,37,1315,40
7,4997,FIRE,77.9,57.5,10,603,3,40,56.5,26.5,60,652,48,12562,166
8,1483,CYCLONE,69.8,29.0,4,74,1,30,62.7,6.8,30,323,27,3788,51
10,3406,LANDSLIDE,13.6,35.0,4,177,4,45,28.5,39.7,45,809,38,8615,109
5,4160,CYCLONE,97.2,0.6,6,492,10,40,96.0,41.8,30,587,48,10450,141
6,2778,OTHER,143.7,47.5,1,497,8,10,62.9,44.7,45,297,18,7005,89
8,3401,OTHER,16.8,52.1,10,663,6,36,53.8,11.2,45,469,37,8582,123
6,552,EARTHQUAKE,84.1,3.1,7,96,3,37,60.8,10.2,15,92,22,1440,33
5,2586,OTHER,9.5,41.4,8,582,6,29,83.0,15.8,45,230,23,6515,96
3,929,FIRE,235.5,77.8,2,128,1,31,90.5,8.5,45,59,12,2352,32
8,4299,FIRE,232.7,14.3,2,921,9,44,99.3,11.1,15,651,33,10828,136
8,3185,OTHER,259.4,11.6,5,753,10,6,33.7,44.6,15,445,31,8042,111
9,2569,FLOOD,173.3,31.2,4,293,4,19,28.0,16.6,60,514,33,6512,85
2,2243,EARTHQUAKE,47.2,11.4,10,363,2,14,54.5,27.9,45,119,26,5628,86
3,2330,CYCLONE,73.4,7.1,10,532,9,29,5.5,2.4,15,216,33,5855,96
2,3152,FLOOD,25.8,39.2,10,719,8,40,35.9,17.3,30,161,28,7900,118
9,653,LANDSLIDE,170.3,9.3,8,45,5,44,64.6,38.6,60,152,35,1722,40
4,1843,EARTHQUAKE,258.3,61.7,6,236,6,21,45.6,2.5,60,208,31,4648,71
2,2889,LANDSLIDE,138.4,17.1,6,493,3,33,10.7,41.1,15,145,28,7242,98
6,4565,OTHER,21.3,30.2,8,594,7,16,62.3,27.8,60,473,35,11472,153
7,551,FIRE,62.5,69.4,7,113,7,37,78.8,27.7,30,91,18,1448,37
3,648,OTHER,279.3,57.4,8,47,10,30,32.9,5.8,60,56,15,1650,45
3,2533,LANDSLIDE,20.9,10.9,10,517,7,21,49.7,33.3,15,198,29,6362,99
4,1148,CYCLONE,271.0,63.6,1,231,3,29,53.4,20.1,60,139,19,2910,38
4,1694,OTHER,263.2,30.0,5,395,7,46,98.3,17.9,15,129,19,4275,65
10,76,CYCLONE,295.9,40.4,3,16,1,24,90.2,48.4,15,28,22,290,9
9,2952,FLOOD,258.4,86.6,4,402,10,26,62.7,35.9,60,609,38,7470,102
7,3575,CYCLONE,63.4,17.3,3,313,7,24,84.1,8.6,30,692,39,9008,115
3,105,FLOOD,194.5,14.4,8,19,3,6,14.2,40.5,60,16,14,292,22
10,3497,CYCLONE,53.9,50.9,9,748,7,23,23.0,21.8,15,960,66,8842,125
10,4090,OTHER,71.0,50.2,7,962,10,24,3.8,2.9,60,705,39,10325,141
6,937,CYCLONE,144.5,69.0,3,183,9,49,78.0,23.8,15,186,19,2402,42
9,734,EARTHQUAKE,141.7,74.2,2,137,9,38,31.6,3.6,45,200,17,1925,34
9,98,LANDSLIDE,136.2,90.6,10,19,7,23,96.1,40.1,45,49,36,335,30
3,299,OTHER,276.9,74.9,10,30,8,38,17.3,3.5,45,36,15,778,37
10,233,FIRE,145.4,12.7,2,51,5,17,13.7,14.8,45,55,10,682,16
1,923,CYCLONE,52.4,59.2,3,167,6,12,26.5,35.3,60,50,10,2318,38
3,4330,FLOOD,102.9,8.4,3,732,3,32,75.4,21.2,60,290,34,10855,133
4,3615,OTHER,191.3,21.1,6,220,5,49,82.0,3.6,60,252,28,9078,120
7,3911,FIRE,142.9,94.8,9,378,7,31,26.6,27.0,60,524,42,9848,137
1,2375,LANDSLIDE,114.6,31.6,9,443,1,7,91.8,32.2,60,61,23,5948,87
10,2243,FIRE,81.1,80.2,5,405,7,30,77.4,37.7,30,432,28,5708,81
9,2774,OTHER,207.1,18.0,9,144,1,5,1.7,5.8,15,419,38,7025,98
8,2889,EARTHQUAKE,217.6,25.2,1,158,2,4,93.9,33.2,30,586,31,7302,87
10,1007,OTHER,287.3,8.6,10,76,10,12,89.7,35.1,45,188,36,2618,59
5,3835,OTHER,280.9,63.9,5,781,6,17,16.6,4.6,15,336,31,9638,126
7,3193,FIRE,298.8,25.8,5,273,2,32,98.0,10.8,60,416,34,8052,103
3,4040,FLOOD,43.2,76.9,4,698,2,29,71.7,6.1,15,274,31,10130,125
2,4690,OTHER,75.2,44.6,8,374,1,3,66.6,14.1,45,161,29,11745,151
7,4717,FLOOD,154.6,94.0,8,686,7,47,78.2,39.5,30,742,53,11862,158
1,3159,OTHER,245.4,48.2,10,496,6,22,68.3,20.6,15,68,23,7908,116
6,4389,FIRE,24.1,46.0,5,788,3,36,4.4,19.8,30,493,33,11032,138
5,3205,FLOOD,189.2,35.9,2,727,8,48,19.4,2.7,15,371,29,8062,104
10,1963,LANDSLIDE,116.6,79.3,5,294,8,2,4.2,3.7,15,488,35,5008,74
7,978,EARTHQUAKE,242.1,66.7,8,232,9,10,74.2,12.4,15,205,36,2515,53
1,1169,LANDSLIDE,196.1,47.1,10,69,3,1,17.6,3.4,45,40,17,2932,56
2,3747,CYCLONE,51.2,59.1,2,272,10,40,22.4,40.4,60,238,33,9388,121
6,3303,FIRE,36.2,68.4,9,255,4,49,5.0,9.5,15,377,34,8318,116
2,2253,EARTHQUAKE,227.3,16.8,6,362,8,16,92.6,3.0,15,138,28,5652,84
10,3091,EARTHQUAKE,4.7,48.7,1,159,2,46,65.3,44.5,60,784,27,7828,92
8,1049,EARTHQUAKE,42.9,27.1,8,138,3,40,69.3,30.2,60,222,33,2702,49
10,731,OTHER,247.9,30.1,7,37,4,13,12.2,27.0,15,132,26,1928,39
10,2974,CYCLONE,152.3,46.4,4,313,4,8,79.8,34.6,60,811,45,7535,97
8,1454,EARTHQUAKE,201.0,4.3,6,155,7,17,33.8,40.5,60,312,35,3715,61
1,865,OTHER,15.7,53.7,3,179,8,33,12.0,44.9,60,34,5,2172,39
10,4759,FIRE,125.7,74.7,6,456,2,21,23.2,12.6,60,882,45,11998,150
4,3086,EARTHQUAKE,22.1,58.5,1,703,3,14,92.8,23.3,60,323,25,7755,93
6,1127,LANDSLIDE,215.9,63.2,5,101,3,3,69.4,3.9,30,172,24,2878,45
2,3823,LANDSLIDE,125.5,76.0,4,868,10,11,79.1,32.3,30,214,33,9578,127
10,4538,EARTHQUAKE,25.9,85.7,8,1009,4,38,47.6,23.7,15,1155,65,11445,150
7,2030,EARTHQUAKE,98.2,57.9,10,485,10,1,42.1,3.2,60,391,44,5145,88
9,285,LANDSLIDE,159.3,47.9,2,40,4,6,56.1,1.6,60,76,13,802,16
4,1097,FIRE,88.7,64.8,2,58,5,11,70.5,43.0,15,96,10,2782,40
8,3809,EARTHQUAKE,262.3,40.5,6,667,1,41,7.5,44.8,45,769,54,9602,122
9,277,FIRE,127.8,27.0,10,43,4,44,8.6,44.2,15,56,29,782,32
9,2991,FLOOD,33.3,36.6,10,174,6,12,65.0,35.5,30,602,50,7568,111
3,2753,EARTHQUAKE,161.9,64.9,10,617,4,49,74.6,12.0,45,225,37,6912,103
5,4135,OTHER,126.9,5.4,6,492,8,33,52.9,7.0,45,361,31,10388,138
8,3025,OTHER,283.6,80.9,2,265,8,6,8.5,45.0,45,425,25,7642,98
2,905,EARTHQUAKE,82.8,69.7,8,72,4,34,95.2,2.1,60,64,15,2282,46
9,1091,LANDSLIDE,104.0,44.4,1,118,2,2,87.2,12.4,45,239,14,2818,35
7,4750,FIRE,196.7,78.7,8,801,9,36,44.8,15.9,30,635,46,11945,161
5,1416,FIRE,68.0,37.2,5,288,1,10,35.6,23.3,30,135,16,3590,51
10,1327,OTHER,160.6,18.2,3,289,3,11,24.2,3.0,45,228,17,3418,47
10,1046,LANDSLIDE,78.1,18.4,9,200,6,23,15.2,23.0,30,263,41,2715,54
9,2480,FLOOD,276.1,40.5,8,505,8,21,16.0,48.5,45,508,47,6290,95
5,3892,FIRE,290.9,75.4,10,713,10,47,90.7,22.7,15,384,42,9780,141
8,338,EARTHQUAKE,203.4,11.7,1,44,4,29,36.1,17.0,30,81,12,925,16
10,4322,EARTHQUAKE,234.4,76.7,4,235,9,29,67.9,47.9,60,1115,54,10905,140
4,4027,FIRE,181.0,51.2,1,933,6,26,15.2,42.8,45,312,27,10108,123
7,3064,FLOOD,85.4,35.1,8,688,2,14,72.9,22.8,60,473,40,7730,106
8,2374,EARTHQUAKE,241.7,97.0,7,464,7,9,83.6,30.3,30,506,46,6015,89
4,2494,LANDSLIDE,296.5,52.5,6,157,10,49,37.9,1.3,45,266,34,6275,93
7,1442,CYCLONE,138.6,56.8,3,129,7,19,55.6,3.1,45,298,24,3675,54
10,2499,LANDSLIDE,167.8,46.3,1,520,3,17,30.4,32.4,60,596,26,6348,76
2,2366,LANDSLIDE,53.8,90.7,4,131,5,32,99.4,4.3,45,133,21,5935,81
10,3946,CYCLONE,130.8,25.8,8,966,2,24,51.5,29.2,45,1061,68,9965,131
3,4774,FLOOD,43.8,46.1,3,579,1,18,36.4,32.2,45,317,35,11965,143
1,2384,FIRE,158.9,93.6,9,211,3,49,9.9,37.9,45,57,19,5970,89
6,2476,FIRE,205.6,68.8,2,388,6,10,1.8,26.4,45,291,21,6250,81
8,3385,FIRE,276.3,16.3,4,273,4,13,79.6,28.4,15,506,33,8542,109
7,3782,FLOOD,35.0,13.1,1,551,5,45,36.6,41.0,45,588,28,9525,115
3,2505,FLOOD,223.3,11.9,3,554,3,45,23.0,7.1,30,172,25,6292,81
2,3490,OTHER,228.9,11.2,1,715,7,3,20.0,2.6,15,131,23,8745,109
8,984,FIRE,13.0,30.2,1,197,2,39,20.9,45.2,30,151,8,2540,32
6,249,FLOOD,43.7,74.6,5,59,6,23,16.5,25.5,30,54,13,682,23
9,4681,FLOOD,29.7,57.8,1,729,4,19,17.6,37.9,15,928,34,11792,140
2,1763,CYCLONE,255.4,47.5,10,153,2,12,83.6,49.1,60,105,30,4428,72
4,4222,EARTHQUAKE,122.3,76.1,6,315,2,34,14.0,38.4,45,436,44,10595,135
9,342,FLOOD,98.4,11.6,5,48,5,44,97.6,22.8,60,81,19,945,25
5,3515,EARTHQUAKE,257.0,89.5,8,835,6,12,1.8,34.0,15,466,49,8838,122
7,3598,CYCLONE,197.6,8.5,3,464,10,7,74.3,44.7,30,705,44,9065,119
2,2989,EARTHQUAKE,101.6,59.5,7,222,7,47,50.2,38.5,45,176,31,7492,106
7,2927,LANDSLIDE,200.0,95.0,8,445,3,50,45.7,7.0,60,495,46,7388,103
8,1900,OTHER,282.7,3.0,1,410,8,44,3.2,9.8,45,270,17,4830,64
3,2490,CYCLONE,187.0,76.0,9,506,8,13,29.7,25.4,45,233,37,6255,97
9,2824,CYCLONE,164.0,95.3,1,700,2,25,45.3,42.8,60,694,31,7150,85
8,304,FLOOD,53.1,65.9,5,68,3,32,43.4,16.3,60,66,16,840,22
